Id,Name,Year,Gender,State,Count
1,Mary,1910,F,AK,14
2,Annie,1910,F,AK,12
3,Anna,1910,F,AK,10
4,Margaret,1910,F,AK,8
5,Helen,1910,F,AK,7
6,Elsie,1910,F,AK,6
7,Lucy,1910,F,AK,6
8,Dorothy,1910,F,AK,5
9,Mary,1911,F,AK,12
10,Margaret,1911,F,AK,7
11,Ruth,1911,F,AK,7
12,Annie,1911,F,AK,6
13,Elizabeth,1911,F,AK,6
14,Helen,1911,F,AK,6
15,Mary,1912,F,AK,9
16,Elsie,1912,F,AK,8
17,Agnes,1912,F,AK,7
18,Anna,1912,F,AK,7
19,Helen,1912,F,AK,7
20,Louise,1912,F,AK,7
21,Jean,1912,F,AK,6
22,Ruth,1912,F,AK,6
23,Alice,1912,F,AK,5
24,Esther,1912,F,AK,5
25,Ethel,1912,F,AK,5
26,Margaret,1912,F,AK,5
27,Marie,1912,F,AK,5
28,Mary,1913,F,AK,21
29,Elizabeth,1913,F,AK,9
30,Margaret,1913,F,AK,8
31,Helen,1913,F,AK,7
32,Alice,1913,F,AK,5
33,Annie,1913,F,AK,5
34,Louise,1913,F,AK,5
35,Mary,1914,F,AK,22
36,Margaret,1914,F,AK,10
37,Alice,1914,F,AK,8
38,Annie,1914,F,AK,8
39,Elizabeth,1914,F,AK,7
40,Helen,1914,F,AK,7
41,Clara,1914,F,AK,6
42,Dorothy,1914,F,AK,6
43,Martha,1914,F,AK,6
44,Agnes,1914,F,AK,5
45,Esther,1914,F,AK,5
46,Frances,1914,F,AK,5
47,Julia,1914,F,AK,5
48,Lillian,1914,F,AK,5
49,Mildred,1914,F,AK,5
50,Pauline,1914,F,AK,5
51,Mary,1915,F,AK,23
52,Alice,1915,F,AK,13
53,Helen,1915,F,AK,12
54,Anna,1915,F,AK,10
55,Dorothy,1915,F,AK,10
56,Margaret,1915,F,AK,9
57,Ruth,1915,F,AK,9
58,Elizabeth,1915,F,AK,7
59,Frances,1915,F,AK,6
60,Katherine,1915,F,AK,6
61,Martha,1915,F,AK,6
62,Annie,1915,F,AK,5
63,Clara,1915,F,AK,5
64,Emma,1915,F,AK,5
65,Hazel,1915,F,AK,5
66,Julia,1915,F,AK,5
67,Marie,1915,F,AK,5
68,Minnie,1915,F,AK,5
69,Pauline,1915,F,AK,5
70,Mary,1916,F,AK,18
71,Helen,1916,F,AK,12
72,Dorothy,1916,F,AK,8
73,Frances,1916,F,AK,8
74,Ruth,1916,F,AK,8
75,Alice,1916,F,AK,7
76,Anna,1916,F,AK,7
77,Agnes,1916,F,AK,6
78,Annie,1916,F,AK,6
79,Julia,1916,F,AK,6
80,Lillian,1916,F,AK,6
81,Margaret,1916,F,AK,6
82,Daisy,1916,F,AK,5
83,Edna,1916,F,AK,5
84,Esther,1916,F,AK,5
85,Evelyn,1916,F,AK,5
86,Florence,1916,F,AK,5
87,Katherine,1916,F,AK,5
88,Louise,1916,F,AK,5
89,Lucy,1916,F,AK,5
90,Marie,1916,F,AK,5
91,Sally,1916,F,AK,5
92,Mary,1917,F,AK,21
93,Margaret,1917,F,AK,11
94,Helen,1917,F,AK,10
95,Frances,1917,F,AK,9
96,Alice,1917,F,AK,7
97,Olga,1917,F,AK,7
98,Ruth,1917,F,AK,7
99,Clara,1917,F,AK,6
100,Dorothy,1917,F,AK,6
101,Anna,1917,F,AK,5
102,Edith,1917,F,AK,5
103,Florence,1917,F,AK,5
104,Maggie,1917,F,AK,5
105,Rose,1917,F,AK,5
106,Sophie,1917,F,AK,5
107,Mary,1918,F,AK,27
108,Margaret,1918,F,AK,11
109,Helen,1918,F,AK,10
110,Marie,1918,F,AK,10
111,Martha,1918,F,AK,10
112,Ruth,1918,F,AK,10
113,Anna,1918,F,AK,8
114,Gertrude,1918,F,AK,8
115,Julia,1918,F,AK,7
116,Virginia,1918,F,AK,7
117,Alice,1918,F,AK,6
118,Elizabeth,1918,F,AK,6
119,Annie,1918,F,AK,5
120,Clara,1918,F,AK,5
121,Elsie,1918,F,AK,5
122,Emma,1918,F,AK,5
123,Sarah,1918,F,AK,5
124,Stella,1918,F,AK,5
125,Vera,1918,F,AK,5
126,Mary,1919,F,AK,22
127,Margaret,1919,F,AK,17
128,Dorothy,1919,F,AK,13
129,Betty,1919,F,AK,11
130,Helen,1919,F,AK,11
131,Martha,1919,F,AK,9
132,Virginia,1919,F,AK,9
133,Irene,1919,F,AK,8
134,Elizabeth,1919,F,AK,7
135,Emma,1919,F,AK,7
136,Marie,1919,F,AK,7
137,Agnes,1919,F,AK,6
138,Annie,1919,F,AK,6
139,Barbara,1919,F,AK,6
140,Frances,1919,F,AK,6
141,Gladys,1919,F,AK,6
142,Jean,1919,F,AK,6
143,Louise,1919,F,AK,6
144,Ann,1919,F,AK,5
145,Anna,1919,F,AK,5
146,Evelyn,1919,F,AK,5
147,Josephine,1919,F,AK,5
148,Katherine,1919,F,AK,5
149,Kathryn,1919,F,AK,5
150,Minnie,1919,F,AK,5
151,Ruth,1919,F,AK,5
152,Vera,1919,F,AK,5
153,Mary,1920,F,AK,38
154,Margaret,1920,F,AK,19
155,Helen,1920,F,AK,14
156,Ruth,1920,F,AK,14
157,Martha,1920,F,AK,11
158,Elizabeth,1920,F,AK,10
159,Virginia,1920,F,AK,10
160,Florence,1920,F,AK,9
161,Agnes,1920,F,AK,8
162,Dorothy,1920,F,AK,8
163,Alice,1920,F,AK,7
164,Anna,1920,F,AK,7
165,Edith,1920,F,AK,7
166,Annie,1920,F,AK,6
167,Betty,1920,F,AK,6
168,Elsie,1920,F,AK,6
169,Ethel,1920,F,AK,6
170,Irene,1920,F,AK,6
171,Katie,1920,F,AK,6
172,Rose,1920,F,AK,6
173,Frances,1920,F,AK,5
174,Hazel,1920,F,AK,5
175,Katherine,1920,F,AK,5
176,Lorraine,1920,F,AK,5
177,Patricia,1920,F,AK,5
178,Mary,1921,F,AK,36
179,Dorothy,1921,F,AK,11
180,Alice,1921,F,AK,10
181,Margaret,1921,F,AK,10
182,Annie,1921,F,AK,9
183,Helen,1921,F,AK,9
184,Elizabeth,1921,F,AK,8
185,Virginia,1921,F,AK,8
186,Katherine,1921,F,AK,7
187,Mildred,1921,F,AK,7
188,Anna,1921,F,AK,6
189,Agnes,1921,F,AK,5
